,hotel_name,hotel_type,hotel_address,hotel_area,hotel_lat,hotel_lon,hotel_price($)
118,Sotetsu Fresa Inn Hamamatsucho Daimon,Hotel,"1-2-7 Shiba-Daimon, Minato-ku, Tokyo, Tokyo-to, 105-0012, Japan",Shibadaimon,35.659581,139.754533,44
119,VIA INN AKIHABARA,Hotel,"2-19-4 Kanda Suda-cho, Tokyo, Japan",Kanda Sudacho,35.696631,139.772263,61
120,Daiwa Roynet Hotel Nishi Shinjuku,Hotel,"6-12-39, Nishi-Shinjuku, Shinjuku-ku, Tokyo, Tokyo, 160-0023, Japan",Nishi-Shinjuku,35.694548,139.689573,59
121,Daiichi Hotel Tokyo,Hotel,"1-2-6 Shimbashi, Minato, Tokyo, Tokyo, 105-0004, Japan",Minato,35.668543,139.75796,117
122,Hotel Sardonyx Ueno,Hotel,"6-6-7 Ueno, Taito, Tokyo, Tokyo-to, 110-0005, Japan","Ueno, Tokyo (prefecture), Japan",35.708758,139.775958,50
123,Hotel Monterey Akasaka,Hotel,"4-9-24 Akasaka, Minato-ku, Tokyo, Tokyo-to, 107-0052, Japan",Akasaka,35.67559,139.73265,63
124,Candeo Hotels Tokyo Shimbashi,Hotel,"3-6-8 Shimbashi, Minato-ku, Tokyo, Tokyo, 105-0004, Japan",Shinbashi,35.665815,139.755146,82
125,Sotetsu Fresa Inn Ginza-Nanachome,Hotel,"7-11-12 Ginza, Chuo, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.668288,139.763271,63
126,APA Hotel Nihombashi Bakurocho-Ekikita,Hotel,"1-14-1 Higashi Kanda, Tokyo, Tokyo, 101-0031, Japan",Higashikanda,35.693651,139.781061,38
127,Hotel Villa Fontaine Tokyo-Kudanshita,Hotel,"2-4-4 Nishi Kanda Chiyoda-ku, Tokyo, Tokyo-to, 101-0065, Japan",Nishikanda,35.697767,139.75437,61
128,Sotetsu Fresa Inn Nihombashi-Kayabacho,Hotel,"1-3-10 Kayabacho Nihombashi Chuo-ku, Tokyo, Tokyo-to, 103-0025, Japan",Nihonbashi,35.680706,139.779893,51
129,Hotel MyStays Kanda,Hotel,"1-2-2 Iwamoto-cho, Chiyoda-ku, Tokyo, Tokyo-to, 101-0032, Japan",Iwamotocho,35.691431,139.77504,35
130,DaiwaRoynetHotel Tokyo Kyobashi,Hotel,"2-8-20 Kyobashi, Chuo-ku, Tokyo, Tokyo, 104-0031, Japan",Chuo,35.677394,139.770836,85
131,APA Hotel & Resort Nishishinjuku Gochome Eki Tower,Hotel,"3-14-1 Honmachi, Shibuya-ku, Tokyo, Tokyo, 151-0071, Japan",Nishi-Shinjuku,35.689574,139.683788,38
132,Hotel Wing International Premium Tokyo Yotsuya,Hotel,"3-14-1 Yotsuya, Shinjuku-ku, Tokyo, Tokyo-to, 160-0004, Japan",Yotsuya,35.687896,139.718386,44
133,APA Hotel Ueno Inaricho Ekikita,Hotel,"5-10-8 Higashi Ueno, Taito-ku, Tokyo, Tokyo, 110-0015, Japan",Ueno,35.713598,139.782659,38
134,Richmond Hotel Tokyo Suidobashi,Hotel,"1-33-9 Hongo, Tokyo, Tokyo, 113-0033, Japan",Suidobashi,35.706075,139.754879,59
135,"Far East Village Hotel Ariake, Tokyo",Hotel,"1-2-43 Ariake, Koto, Tokyo, Tokyo, 135-0063, Japan",Ariake,35.63249,139.78998,51
136,Hotel Villa Fontaine Grand Tokyo-Roppongi,Hotel,"1-6-2 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",Roppongi,35.664366,139.738844,88
137,Hotel Abest Ginza Kyobashi,Hotel,"3-9-1 Kyobashi, Chuo-ku, Tokyo, 1040031, Japan",Kyobashi,35.675078,139.771148,42
138,Cen DIVERSITY HOTEL & CAFE,Hotel,"1-5-19 Hyakunincho, Tokyo, Tokyo, 169-0073, Japan",Hyakunincho,35.69936,139.701421,38
